bm,bn,en,zh-CN,hi,es,fr
গুজুরানি,বলা,to say,说,कहने के लिए,decir,dire
মাতানি,বলা,to say,说,कहने के लिए,decir,dire
মাত,বল,say,说,कहना,decir,dire
মাতলে,বলেছ,you said,你说,आपने कहा,Usted dijo,vous avez dit
মাতেসিলে,বলেছিলে,you said,你说,आपने कहा,Usted dijo,vous avez dit
মাতেসিল,বলেছিলেন,said,说,कहा,dicho,dit
মাতেসে,বলেছে,said,说,कहा,dicho,dit
মাতেসে,বলেছেন,said,说,कहा,dicho,dit
মাতল,বলল,said,说,कहा,dicho,dit
মাতুরি,বলি,say,说,कहना,decir,dire
মাততৌ,বলবো,I will say,我会说,मुझे कहना होगा,voy a decir,je dirai
মাতরাং,বলছি,saying,说,कह रहा,dicho,adage
আলথক অনা,ফেরা,return,返回,वापस करना,devolver,retour
হঙকরানি,তৈরি করা,to make,使,बनाने के लिए,hacer,faire
হঙকরের,তৈরি করে,makes,使,बनाता है,marcas,fait
হঙকরৌরি,তৈরি করি,make,制作,बनाना,hacer,faire
হঙকরেসিল,তৈরি করেছিল,made,制成,बनाया,hecho,fait
হঙকরানি অসিল,তৈরি হয়েছিল,was made,被做了,बनाया गया था,fue hecho,a été fait
হঙকর,তৈরি কর,make up,化妆品,पूरा करना,constituir,se maquiller
হঙকরতৌ,তৈরি করব,will make,将使,कर देंगें,hará,fera
হঙকরতৈ,তৈরি করবে,will make,将使,कर देंगें,hará,fera
বুলানি,বেড়ানো,walk around,走动,चारों ओर चलना,dar una vuelta,se promener
নুংশি,সুগন্ধ,fragrance,香味,खुशबू,fragancia,parfum
মুঙ,পূর্ব,east,东方,पूर्व,este,est
পিছ,পশ্চিম,the west,西方,पश्चिम,el oeste,l'ouest
অওয়াঙ,উত্তর,the answer,答案,उत्तर,la respuesta,la réponse
খা,দক্ষিণ,the south,南方,दक्षिण,el sur,le sud
গস,উপর,on,在,पर,en,sur
তল,নিচ,down,向下,नीचे,abajo,vers le bas
মুঙেদে,সামনে,in front,在前,सामने,Al frente,devant
পিসেদে,পিছনে,behind,在后面,पीछे,detrás,derrière
খানি পিসে আহিস,একটু পরে আসো,come later,稍后来,बाद में आना,ven luego,viens plus tard
কামহান অইল,কাজটা হয়ে গেছে,The job is done,工作完成了,काम पूरा हो गया,el trabajo esta hecho,Le travail est fait
এবাকাই লাগের,এখনই দরকার,Needed now,现在需要,अभी जरूरत है,Necesario ahora,Nécessaire maintenant
পিসে করতৌ,পরে করব,will do later,稍后会做,बाद में करेंगे,lo haré más tarde,je le ferai plus tard
চুমকরে কর,ঠিকমতো করো,do it right,做正确的事,इसे सही से करो,hazlo bien,fais-le bien
আরেকমাউ হৎনা কর,আবার চেষ্টা করো,try again,再试一次,पुनः प्रयास करें,intentar otra vez,essayer à nouveau
হাল না এরা দি,হাল ছেড়ো না,Don't give up,不要放弃,हिम्मत मत हारो,no te rindas,N'abandonne pas
মনহান দিয়া হুন,মন দিয়ে শোনো,Listen carefully,仔细听,ध्यान से सुनो,Escuche atentamente,Écoutez attentivement
ইংগ অয়া থাক,চুপ করো,shut up,住口,चुप रहो,callarse la boca,fermez-la
আতকরে টটারা,জোরে বলো,say it out loud,大声说出来,इसे ज़ोर से कहो,dilo en voz alta,dis-le à voix haute
তাপ্প টটারা,আস্তে বলো,speak slowly,慢慢地说,धीरे बोलो,habla despacio,parler lentement
কাদাত আয়,কাছে আসো,come closer,靠近一点,करीब आएं,acércate,se rapprocher
দূরেইত যাগা,দূরে যাও,go away,离开,दूर जाओ,irse,s'en aller
এগদে আয়,এদিকে আসো,come here,来这里,यहाँ आओ,ven aquí,venez ici
অহানদে যাগা,ওদিকে যাও,go there,去那里,वहाँ जाएँ,ve allí,allez-y
গজে চা,উপরে তাকাও,look up,抬头,ऊपर देखो,buscar,chercher
তলে চা,নিচে দেখো,see below,见下文,नीचे देखें,vea abajo,voir ci-dessous
সিধা যাগা,সোজা যাও,go straight,直行,सीधे जाओ,Siga derecho,Allez tout droit
থাম,থামো,stop,停止,रुकना,detener,arrêt
দাবদে,দৌড়াও,run,跑步,दौड़ना,correr,courir
আট্,হাঁটো,take a walk,散步,टहलें,dar un paseo,faire une promenade
বহ,বসো,sit down,坐下,बैठ जाओ,sentarse,asseyez-vous
উঠ্,উঠো,get up,起床,उठना,levantarse,se lever
গুমজিয়া থাক,শুয়ে থাকো,lie down,躺,लेट जाओ,acostarse,allongez-vous
আত নাদি,হাত দিও না,don't touch,不要碰,मत छुओ,no tocar,ne touche pas
ধর,ধরো,hold on,坚持，稍等,पकड़ना,esperar,attendez
এরা দে,ছেড়ে দাও,give up,放弃,छोड़ देना,abandonar,abandonner
না উসুলি,টেনো না,don't drag,不要拖,खींचो मत,no arrastres,ne traîne pas
না ঠেলি,ঠেলো না,don't push,不要推,धक्का मत दो,no empujes,ne pousse pas
না থেয়ইস,সরে যাও,move away,搬走,टलना,alejarse,s'éloigner
যাগা আহান দে,জায়গা দাও,give space,给空间,जगह दो,dar espacio,donner de l'espace
বিতরে আয়,ভেতরে আসো,come in,进来,अंदर आएं,Adelante,Entrez
বারে যাগা,বাইরে যাও,go outside,出去,बाहर जाओ,salir afuera,sortir
দুয়ারহান আংকর,দরজা খোলো,open the door,打开门,दरवाजा खाेलें,abrir la puerta,ouvre la porte
দুয়ারহান গাৎ,দরজা বন্ধ করো,close the door,关门,दरवाज़ा बंद कर दो,Cierre la puerta,ferme la porte
থমেইগ জ্বালা,আলো জ্বালাও,turn on the light,打开灯,लाइट को चालू करें,encender la luz,allumer la lumière
থমেইগ নিবা,আলো নিভাও,turn off the light,关掉灯,बत्ती बंद करें,apagar la luz,éteindre la lumière
পানি আন,পানি আনো,bring water,带水,पानी लाओ,traer agua,apporter de l'eau
খাওন দে,খাবার দাও,give food,给食物,भोजन दो,dar comida,donner à manger
চা হংকর,চা বানাও,make tea,泡茶,चाय बनाएं,hacer té,faire du thé
ঘুমজা,ঘুমাও,sleep,睡觉,नींद,dormir,dormir
গুমেত্ত উঠ,জেগে উঠো,wake up,醒来,जागो,despertar,réveillez-vous
চালাক্করে কর,তাড়াতাড়ি করো,hurry up,赶快,जल्दी करो,apresúrate,dépêche-toi
সময় নষ্ট না করি,সময় নষ্ট করো না,don't waste time,不要浪费时间,समय बर्बाद मत करो,no pierdas el tiempo,ne perds pas de temps
মনোযোগ দে,মনোযোগ দাও,pay attention,注意,ध्यान देना,prestar atención,Faites attention
না পাহুরিস,ভুলে যেও না,don't forget,别忘了,मत भूलो,no lo olvides,n'oublie pas
মনে থইস,মনে রেখো,remember,记住,याद करना,recordar,souviens-toi
ইকরিয়া থ,লিখে রাখো,write it down,写下来,नीचे लिखें,escríbelo,écris-le
হিসাব থ,হিসাব রাখো,keep count,记数,गिनती रखो,mantener la cuenta,compte
খিয়াল থ,খেয়াল রাখো,take care,小心,अपना ध्यान रखना,cuidarse,prends soin de toi
তালাবি কর,যত্ন নাও,take care,小心,अपना ध्यान रखना,cuidarse,prends soin de toi
হশিয়ার থাইস,সাবধান থেকো,be careful,当心,ध्यान से,ten cuidado,sois prudent
বলি ইয়া থাইস,ভালো থেকো,stay well,保持健康,अच्छे से रहो,mantente bien,reste bien
হবাবালা অয়া থাইস,সুস্থ থেকো,stay healthy,保持健康,स्वस्थ रहें,mantente saludable,rester en bonne santé
হারৌ অয়া থাইস,হাসিখুশি থাকো,stay happy,保持快乐,प्रसन्न रहें,mantente feliz,reste heureux
হবানেই শ্চিন্তা নাকরি,দুশ্চিন্তা করো না,don't worry,不用担心,चिंता मत करो,no te preocupes,Ne vous inquiétez pas
ডরাই না পেই,ভয় পেও না,don't be afraid,别害怕,डरो मत,no tengas miedo,n'aie pas peur
সাহসহান থ,সাহস রাখো,keep courage,保持勇气,हिम्मत रखो,mantén el coraje,garde courage
বিশ্বাস থ,বিশ্বাস রাখো,keep faith,保持信念,भरोसा रखना,ser fiel,garder la foi
আশা থ,আশা রাখো,keep hope,保持希望,आशा रखो,mantener la esperanza,garder espoir
ধৈর্য ধর,ধৈর্য ধরো,Be patient,要有耐心,धैर्य रखें,Ser paciente,Sois patient
মুরগো ঠান্ডা কর,মাথা ঠান্ডা রাখো,Keep a cool head,保持冷静的头脑,दिमाग ठंडा रखें,Mantén la cabeza fría,Gardez la tête froide
তিকহান সামলা,রাগ সামলাও,Manage your anger,管理你的愤怒,अपने गुस्से पर काबू रखें,Maneja tu ira,Gérez votre colère
হিন না পেইস,কষ্ট পেও না,don't suffer,别受苦,कष्ट मत करो,no sufras,ne souffre pas
মনহান দদা কর,মন শক্ত করো,Make up your mind,下定决心,मन बना लो,Decídete,Décidez-vous
নিজরে সামলা,নিজেকে সামলাও,handle yourself,处理好自己,अपने आप को संभालो,manejate tu mismo,gère-toi
আকখুলাগ নাগৈ,একা না,not alone,不孤单,अकेले नहीं,no solo,pas seul
কাদাৎ আসু,পাশে আছি,I'm next to you,我在你旁边,मैं तुम्हारे बगल में हूँ,estoy a tu lado,je suis à côté de toi
চিন্তা না করি,চিন্তা করো না,don't worry,不用担心,चिंता मत करो,no te preocupes,Ne vous inquiétez pas
হাবি ঠিক অইতই,সব ঠিক হবে,Everything will be fine,一切都会好起来的,सब कुछ ठीक हो जाएगा,todo estará bien,Tout ira bien
সময় লাগতই,সময় লাগবে,It will take time,这需要时间,समय तो लगेगा,Tomará tiempo,Cela prendra du temps
তাপ্প তাপ্প,আস্তে আস্তে,slowly,慢慢地,धीरे से,despacio,lentement
হাতেং হাতেং,ধীরে ধীরে,slowly,慢慢地,धीरे से,despacio,lentement
খানি খানি করিয়া,একটু একটু করে,bit by bit,一点一点,टिल तिल,poco a poco,petit à petit
হাবি হারাপাসু,সব জানি,know everything,知道一切,सब कुछ पता है,saber todo,je sais tout
কিত্তাউ হান না পাসু,কিছু জানি না,don't know anything,什么都不知道,कुछ पता नहीं,no se nada,je ne sais rien
হার পেইলু,বুঝতে পেরেছি,understood,明白了,समझा,comprendido,compris
হার না পেইলু,বুঝিনি,didn't understand,不明白,समझ नहीं आया,no entendí,je n'ai pas compris
সেংকরে মাত,পরিষ্কার বলো,be clear,说清楚,स्पष्ट होना,ser claro,sois clair
উদাহরণ দে,উদাহরণ দাও,Give an example,举个例子,एक उदाहरण दीजिए,dar un ejemplo,Donnez un exemple
দেহাদে,দেখাও,show me,给我看看,मुझे दिखाओ,muéstrame,montre-moi
হিকাদে,শেখাও,teach,教,पढ़ाना,enseñar,enseigner
মাতে দে,বলে দাও,tell me,告诉我,मुझे बताओ,dime,dites-moi
আংকর,জিজ্ঞেস করো,ask,问,पूछना,preguntar,demander
জওয়াপ দে,উত্তর দাও,answer,回答,उत्तर,respuesta,répondre
প্রশ্নহান আংকর,প্রশ্ন করো,ask questions,提出问题,प्रश्न पूछें,hacer las cuestiones,poser des questions
খালকর,ভাবো,think,思考,सोचना,pensar,pense
লেপো,সিদ্ধান্ত নাও,make a decision,做出决定,फैसला लें,tomar una decisión,prendre une décision
বাছিয়া নেগা,বেছে নাও,choose,选择,चुनना,elegir,choisir
এরা দে,ছেড়ে দাও,give up,放弃,छोड़ देना,abandonar,abandonner
নিয়া যাগা,নিয়ে নাও,,拿走它,इसे लें,tómalo,prends-le
থুয়া বেলা,রেখে দাও,leave it,留下它,इसे छोड़ो,déjalo,laisse-le
আলকরে দে,ফিরিয়ে দাও,give it back,把它还给,यह वापस दे,devuélvelo,rends-le
নষ্ট না করি,নষ্ট করো না,don't waste,不要浪费,बर्बाद मत करो,no desperdicies,ne gaspille pas
সংরক্ষণ কর,সংরক্ষণ করো,save,节省,बचाना,ahorrar,sauvegarder
শেয়ার কর,শেয়ার করো,share it,分享它,इसे शेयर करें,Compártelo,Partagez-le
চেইতে দে,দেখতে দাও,let me see,让我看看,मुझे देखने दो,déjeme ver,laissez-moi voir
গিরকর লগে উনা অয়া নুঙেই লাগিল,আপনার সাথে দেখা হয়ে ভালো লাগল,Nice to meet you,很高兴见到你,आपसे मिलकर अच्छा लगा,Encantado de conocerlo,Ravi de vous rencontrer
হবা বিয়ান,শুভ সকাল,good morning,早上好,शुभ प्रभात,buen día,bonjour
হাবা মাদান,শুভ বিকেল,good afternoon,下午好,शुभ दोपहर,buenas tardes,bon après-midi
হবা রাতি,শুভ রাত,good night,晚安,शुभ रात्रि,buenas noches,bonne nuit
আহিক বহিক,আসুন বসুন,let's sit down,我们坐下来,चलो बैठो,sentémonos,asseyons-nous
থাকাত,ধন্যবাদ,thank you,谢谢,धन्यवाद,gracias,merci
গিরকরে স্বাগতম,আপনাকে স্বাগতম,you are welcome,不客气,आपका स्वागत है,de nada,je vous en prie
বারো দেখা অইতয়,আবার দেখা হবে,See you again,再见,फिर मिलेंगे,Nos vemos de nuevo,On se reverra
মি বাংলাদেশেত্ত আহেসুগ,আমি বাংলাদেশ থেকে এসেছি,I am from Bangladesh,我来自孟加拉国,मैं बांग्लादेश से हूं,soy de bangladesh,Je viens du Bangladesh
তি কুরাংত আহেসতগ,আপনি কোথা থেকে এসেছেন,where are you from,你从哪来,आप कहाँ से हैं,de dónde eres,d'où venez-vous
মোর বয়স আককুড়ি দশ,আমার বয়স ত্রিশ বছর,I am thirty years old,我三十岁了,मेरी उम्र तीस साल है,tengo treinta años,j'ai trente ans
তোর বয়স কতি,আপনার বয়স কত,how old are you,你今年多大,आपकी आयु कितनी है,cuántos años tiene,quel âge as-tu
মি মাস্টরগ,আমি একজন শিক্ষক,i am a teacher,我是老师,मैं एक शिक्षक हूं,Yo soy un profesor,Je suis enseignant
তি কী কাম কররগ,আপনি কী কাজ করেন,what do you do,你做什么工作,आप क्या करते हैं,a qué te dedicas,que fais-tu
মি লহঙ করিসু,আমি বিবাহিত,i am married,我结婚了,मैं शादीशुदा हूं,Estoy casado,Je suis marié
মোর মৌসুমারা দুগ,আমার দুটি সন্তান আছে,I have two children,我有两个孩子,मेरे दो बच्चे हैं,tengo dos hijos,j'ai deux enfants
মোর ইমা গারিগ নারিরি,আমার মা অসুস্থ,my mother is sick,我妈妈病了,मेरी मां बीमार है,mi madre esta enferma,ma mère est malade
মোর বাবা খেতুয়ালগ,আমার বাবা কৃষক,My father is a farmer,我的父亲是一名农民,मेरे पिता एक किसान है,mi padre es granjero,Mon père est agriculteur
মোর বেয়ক টাউনে থার,পরিবার,the family,家人,परिवार,la familia,la famille
মোর বনক লেইরিক তামকরিরি,আমার বোন পড়াশোনা করছে,My sister is studying,我妹妹正在读书,मेरी बहन पढ़ रही है,mi hermana esta estudiando,Ma sœur étudie
আমার গরে পাচগ মানু,আমাদের পরিবারে পাঁচজন সদস্য,There are five members in our family,我们家有五口人,हमारे परिवार में पांच सदस्य हैं,Hay cinco miembros en nuestra familia.,Il y a cinq membres dans notre famille
মোর হেয়ক ব্যবসায়ীগ,আমার স্বামী ব্যবসায়ী,My husband is a businessman,我的丈夫是一名商人,मेरे पति एक बिजनेसमैन हैं,mi marido es un hombre de negocios,Mon mari est un homme d'affaires
মোর মইলক গৃহিনীগ,আমার স্ত্রী গৃহিণী,My wife is a housewife,我的妻子是一名家庭主妇,मेरी पत्नी एक गृहिणी है,mi esposa es ama de casa,Ma femme est femme au foyer
মোর পিতক স্কুলে যারগা,পরিবার,the family,家人,परिवार,la familia,la famille
মোর জিলক নিয়াম মেধাবী,আমার মেয়ে অনেক মেধাবী,My daughter is very talented,我的女儿非常有才华,मेरी बेटी बहुत प्रतिभाशाली है,mi hija es muy talentosa,Ma fille est très talentueuse
মোর বপা-দাঙ্গ গাঙে থাইতারা,আমার দাদা-দাদি গ্রামে থাকেন,My grandparents live in the village,我的祖父母住在村里,मेरे दादा-दादी गाँव में रहते हैं,Mis abuelos viven en el pueblo.,Mes grands-parents habitent au village
এবকা কয়টা বাজের,এখন কয়টা বাজে,what time is it now,现在几点了,अब समय क्या है,¿Qué hora es ahora?,quelle heure est-il maintenant
এবাকা বিয়ান আটটা বাজের,এখন সকাল আটটা বাজে,It is eight o'clock in the morning,现在是早上八点,सुबह के आठ बजे हैं,Son las ocho de la mañana,Il est huit heures du matin
আজি কী বার,সময়,the time,时间,समय,el tiempo,le temps
আজি সোমবার,আজকে সোমবার,Today is Monday,今天是星期一,आज सोमवार हे,Hoy es lunes,C'est lundi aujourd'hui
আজি কয় তারিখ,আজকে কত তারিখ,what date is today,今天是什么日期,क्या तिथि है आज,que fecha es hoy,quelle date est aujourd'hui
আজি পয়লা জানুয়ারি,আজকে পহেলা জানুয়ারি,Today is the first of January,今天是一月一号,आज पहली जनवरी है,Hoy es primero de enero.,Aujourd'hui c'est le premier janvier
মি কারি আহিতৌ,আমি কাল আসব,i will come tomorrow,我明天来,मैं कल आउंगा,vendré mañana,je viendrai demain
গেলগাকাকিবরন দিয়াসিল,গতকাল বৃষ্টি হয়েছিল,It rained yesterday,昨天下雨了,कल बारिश हुई,Ayer llovió,Il a plu hier
পৌরু মোর পরীক্ষা,পরশু আমার পরীক্ষা,I have an exam tomorrow,我明天有考试,कल मेरा एग्जाम हे,tengo un examen mañana,j'ai un examen demain
এরে মাহা এহাত পুজা,এই মাসে পূজা আছে,There is puja in this month,这个月有法会,इस महीने में पूजा होती है,Hay puja en este mes.,Il y a une puja ce mois-ci
তি কুরাং যারাগ,আপনি কোথায় যাচ্ছেন,where are you going,你要去哪里,आप कहां जा रहे हैं,¿adónde vas?,où vas-tu
মি বাজারে যাউরিগা,আমি বাজারে যাচ্ছি,I am going to the market,我要去市场,मैं बाजार के लिए जा रहा हूँ,voy al mercado,je vais au marché
হাসাপাতলগ কুরাং,হাসপাতাল কোথায়,where is the hospital,医院在哪里,अस्पताल कहां है,donde esta el hospital,où est l'hôpital
বাতেদে যাগা থাংনাৎ বিঙেদে,ডানে যান তারপর বাঁয়ে,Go right then left,向右走然后向左走,दाएँ जाओ फिर बाएँ,Ve a la derecha y luego a la izquierda.,Allez à droite puis à gauche
এহাত্ত কতিহান দুরেই,এখান থেকে কত দূর,how far from here,离这里有多远,यहाँ से कितनी दूर,¿Qué tan lejos de aquí?,à quelle distance d'ici
স্কুল এগ মুংহাত আছে,স্কুলটা সামনেই আছে,The school is in front,学校就在前面,स्कूल सामने है,la escuela esta enfrente,L'école est devant
মি পথহান পাহুরে বেললু,আমি রাস্তা হারিয়ে ফেলেছি,I've lost my way,我迷路了,मैं अपना रास्ता भूल गया हूं,Estoy perdido,J'ai perdu mon chemin
ঠিকানা এহান কুরাং,এই ঠিকানাটা কোথায়,Where is this address?,这个地址在哪里？,यह पता कहां है?,¿Dónde está esta dirección?,Où est cette adresse ?
কাদাহাৎ কোনো হজকর দোকান আসেতা,কাছে কোনো ওষুধের দোকান আছে,Is there a drug store nearby?,附近有药店吗？,क्या पास में कोई दवा की दुकान है?,¿Hay una farmacia cerca?,Y a-t-il une pharmacie à proximité ?
তি কিতা খেইতেইগ,আপনি কী খাবেন,what do you eat,你吃什么,आप क्या खाते हैं,que comes,qu'est-ce que tu manges
মি ভাত খেইতৌ,আমি ভাত খাব,I will eat rice,我会吃米饭,मैं चावल खाऊंगा,comeré arroz,je mangerai du riz
তি ভাত বপার থাং,আপনার কি ক্ষুধা লেগেছে,are you hungry,你饿了吗,क्या आप भूखे हैं?,tienes hambre,avez-vous faim
মি এবাকা খানা নুয়ারিম,আমি এখন খেতে পারব না,I can't eat now,我现在吃不下饭,मैं अब नहीं खा सकता,no puedo comer ahora,Je ne peux pas manger maintenant
এরে হৌ এতা নিয়ামপারা হুয়াত,এই তরকারিটা অনেক সুস্বাদু,This curry is very tasty,这个咖喱很好吃,यह करी बहुत स्वादिष्ट होती है,Este curry es muy sabroso,Ce curry est très savoureux
পানি দে,পানি দিন,give water,给水,पानी दो,dar agua,donner de l'eau
মি মাছ হাদা পাউরি,আমি মাছ পছন্দ করি,i like fish,我喜欢鱼,मैं मछली पसंद करता हूं,me gusta el pescado,j'aime le poisson
আজিকা কুঙ্গই রাদেসেগ,আজকে রান্না কে করেছে,Who cooked today?,今天谁做饭？,आज किसने खाना बनाया?,¿Quién cocinó hoy?,Qui a cuisiné aujourd'hui ?
চা হংকরতেইগ,চা বানাবেন,make tea,泡茶,चाय बनाएं,hacer té,faire du thé
মিষ্টি আন,মিষ্টি আনো,bring sweet,带来甜蜜,मिठाई लाओ,traer dulce,apporter du sucré
এহার দাম কতি,এটার দাম কত,How much does it cost?,它要多少钱？,इसकी कीमत कितनी होती है?,¿Cuánto cuesta?,Combien ça coûte?
খানি কমিয়া দে,একটু কমে দিন,Reduce it a bit,减少一点,इसे थोड़ा कम करें,reducirlo un poco,Réduisez-le un peu
মি এহান লইতৌ,আমি এটা কিনব,i will buy it,我会买它,मैं इसे खरीदूंगा,lo compraré,je vais l'acheter
আরাকখানি দেখাদে,আরেকটু দেখান,Show me some more,再给我看一些,मुझे कुछ और दिखाओ,Muéstrame un poco más,Montre-moi un peu plus
এহান হবা নাসে,এটা ভালো না,It's not good,这不好,अच्छी बात नहीँ हे,no es bueno,Ce n'est pas bon
হাবিয়ে কতি অইলতা,মোট কত হলো,How much is the total?,总共多少钱？,कुल कितना हुआ?,¿Cuánto es el total?,Quelle est l'addition?
ভাংতি আসেগ,ভাংতি আছে,There is variation,有变异,भिन्नता है,hay variación,Il y a des variations
রাসিদহান দে,বাজার,the market,市场,बाजार,el mercado,le marché
এহান কি তাজা,এটা কি তাজা,Is it fresh?,新鲜吗？,क्या यह ताज़ा है?,¿Está fresco?,Est-ce frais ?
আলু কেজি আহান দে,এক কেজি আলু দিন,Add one kg of potatoes,添加一公斤土豆,एक किलो आलू डालें,Añade un kg de patatas.,Ajouter un kg de pommes de terre
মোরতা মুরগ কামারার,আমার মাথা ব্যথা করছে,I have a headache,我头疼,मुझे सिर दर्द है,Me duele la cabeza,J'ai mal à la tête
তাপ হান আহিসে,জ্বর এসেছে,Fever has arrived,发烧已经到来,बुखार आ गया है,ha llegado la fiebre,La fièvre est arrivée
ডাক্তর দেখাদেনা লাগতৈ,ডাক্তার দেখাতে হবে,Must see a doctor,必须去看医生,डॉक्टर को अवश्य दिखाएं,Debe ver a un medico,Il faut voir un médecin
এরে হজক এতা কুমবাকা খানা,এই ওষুধটা কখন খেতে হবে,When to take this medicine,何时服用此药,यह दवा कब लेनी है,Cuando tomar este medicamento,Quand prendre ce médicament
মোরতা জবর দুর্বল লাগের,আমি অনেক দুর্বল লাগছি,I feel so weak,我感觉很虚弱,मैं बहुत कमजोर महसूस करता हूं,me siento tan débil,je me sens si faible
রকত পরীক্ষা করানি লাগতৈ,রক্ত পরীক্ষা করাতে হবে,Blood test should be done,应该进行血液检查,खून की जांच करानी चाहिए,Se debe hacer un análisis de sangre.,Une prise de sang doit être faite
পেটগ কামারার,স্বাস্থ্য,health,健康,स्वास्थ्य,salud,santé
হাসপাতালে ভর্তি অনা লাগের,হাসপাতালে ভর্তি করতে হবে,Must be admitted to hospital,必须入院治疗,अस्पताल में भर्ती होना चाहिए,Debe ser ingresado en el hospital.,Doit être admis à l'hôpital
