bishnupriya_manipuri,bengali
খার,খেতাম
পাওরি,পাই
পার,পাও
পার,পায়
পার,পান
খার,পাচ্ছি
পার,পাচ্ছে
পার,পেলাম
পার,পেল
পার,পেয়েছি
পার,পেয়েছে
পাওরিতৌ,পাব
পার,পাবে
পার,পেতে
পার,পেয়ে
পার,পেতাম
থউরি,রাখি
থর,রাখো
থর,রাখে
থর,রাখেন
পার,রাখছি
থর,রাখছে
থউরিইলু,রাখলাম
থউরিইল,রাখল
থর,রেখেছি
থর,রেখেছে
থউরিতৌ,রাখব
থর,রাখবে
থর,রাখতে
থর,রেখে
থউরিইলু অইস,রাখতাম
বহুরি,বসি
বহ,বসো
বহের,বসে
বহের,বসেন
বহুরি,বসছি
বহের,বসছে
বহইলু,বসলাম
বহইল,বসল
বহের,বসেছি
বহের,বসেছে
বহতৌ,বসব
বহের,বসবে
বহের,বসতে
বহইলু অইস,বসতাম
উবা ইলু,দাঁড়াই
উবা অ,দাঁড়াও
উবা অর,দাঁড়ায়
উবা অর,দাঁড়ান
উবা ইলু,দাঁড়াচ্ছি
উবা অর,দাঁড়াচ্ছে
উবা অইলু,দাঁড়ালাম
উবা অইল,দাঁড়াল
উবা অর,দাঁড়িয়েছি
উবা অর,দাঁড়িয়েছে
উবা অতৌ,দাঁড়াব
উবা অর,দাঁড়াবে
উবা অর,দাঁড়াতে
উবা অর,দাঁড়িয়ে
হারপাউরি,জানি
হারপা,জানো
হারপার,জানে
হারপার,জানেন
হারপাউরি,জানছি
হারপাইলু,জানলাম
হারপার,জেনেছি
হারপার,জেনেছে
হারপাতৌ,জানব
হারপার,জানবে
হারপার,জানতে
হারপার,জেনে
হারপাইলু অইস,জানতাম
হুনুরি,শুনি
হুন,শোনো
হুনের,শোনে
হুনের,শোনেন
হুনুরি,শুনছি
হুনইলু,শুনলাম
হুনের,শুনেছি
হুনের,শুনেছে
হুনতৌ,শুনব
হুনের,শুনবে
হুনের,শুনতে
হুনের,শুনে
হুনইলু অইস,শুনতাম
পাকরৌরি,পড়ি
পাকর,পড়ো
পাকরের,পড়ে
পাকরের,পড়েন
পাকরৌরি,পড়ছি
পাকরইলু,পড়লাম
পাকরের,পড়েছি
পাকরের,পড়েছে
পাকরতৌ,পড়ব
পাকরের,পড়বে
পাকরের,পড়তে
পাকরইলু অইস,পড়তাম
ইকরৌরি,লিখি
ইকর,লেখো
ইকরের,লেখে
ইকরের,লেখেন
ইকরৌরি,লিখছি
ইকরইলু,লিখলাম
ইকরের,লিখেছি
ইকরের,লিখেছে
ইকরতৌ,লিখব
ইকরের,লিখবে
ইকরের,লিখতে
ইকরের,লিখে
ইকরইলু অইস,লিখতাম
চাউরি,চাই
চা,চাও
চার,চায়
চার,চান
চাউরি,চাইছি
চাইলু,চাইলাম
চার,চেয়েছি
চার,চেয়েছে
চাতৌ,চাইব
চার,চাইবে
চার,চাইতে
চার,চেয়ে
চাইলু অইস,চাইতাম
লাগুরি,লাগি
লাগের,লাগে
লাগের,লাগছে
লাগিল,লাগল
লাগিল,লেগেছে
লাগিল,লাগবে
লাগিল,লাগতে
লাগিল,লেগে
লাগিল,লাগত
তামকরৌরি,শিখি
তামকর,শেখো
তামকর,শেখে
লাগিল,শিখছি
তামকরৌরিইলু,শিখলাম
তামকর,শিখেছি
তামকরৌরিতৌ,শিখব
তামকর,শিখতে
তামকর,শিখে
হারপাউরি,বুঝি
হারপা,বোঝো
হারপার,বোঝে
হারপাউরি,বুঝছি
হারপাইলু,বুঝলাম
হারপার,বুঝেছি
হারপাতৌ,বুঝব
হারপার,বুঝতে
হারপার,বুঝে
খালকরৌরি,ভাবি
খালকর,ভাবো
খালকরের,ভাবে
খালকরৌরি,ভাবছি
খালকরইলু,ভাবলাম
খালকরের,ভেবেছি
খালকরতৌ,ভাবব
খালকরের,ভাবতে
খালকরের,ভেবে
হাতুরি,চলি
হাৎ,চলো
হাতের,চলে
হাতুরি,চলছি
হাৎইলু,চললাম
হাতের,চলেছি
হাৎতৌ,চলব
হাতের,চলতে
উঠুরি,উঠি
উঠ,ওঠো
উঠের,ওঠে
উঠুরি,উঠছি
উঠইলু,উঠলাম
উঠের,উঠেছি
উঠতৌ,উঠব
উঠের,উঠতে
উঠের,উঠে
লামৌরি,নামি
লাম,নামো
লামের,নামে
লামৌরি,নামছি
লামইলু,নামলাম
লামের,নেমেছি
লামতৌ,নামব
লামের,নামতে
লামের,নেমে
দরুরি,ধরি
দর,ধরো
দরের,ধরে
দরুরি,ধরছি
দরইলু,ধরলাম
দরের,ধরেছি
দরতৌ,ধরব
দরের,ধরতে
এরাদেউরি,ছাড়ি
এরাদে,ছাড়ো
এরাদের,ছাড়ে
এরাদেউরি,ছাড়ছি
এরাদেইলু,ছাড়লাম
এরাদের,ছেড়েছি
এরাদেতৌ,ছাড়ব
এরাদের,ছাড়তে
এরাদের,ছেড়ে
আনুরি,আনি
আন,আনো
আনের,আনে
আনুরি,আনছি
আনইলু,আনলাম
আনের,এনেছি
আনতৌ,আনব
আনের,আনতে
আনের,এনে
দিয়াবেঠুরি,পাঠাই
দিয়াবেঠা,পাঠাও
দিয়াবেঠার,পাঠায়
দিয়াবেঠুরি,পাঠাচ্ছি
দিয়াবেঠাইলু,পাঠালাম
দিয়াবেঠার,পাঠিয়েছি
দিয়াবেঠাতৌ,পাঠাব
দিয়াবেঠার,পাঠাতে
দিয়াবেঠার,পাঠিয়ে
আংকরৌরি,খুলি
আংকর,খোলো
আংকরের,খোলে
আংকরৌরি,খুলছি
আংকরইলু,খুললাম
আংকরের,খুলেছি
আংকরতৌ,খুলব
আংকরের,খুলতে
আংকরের,খুলে
জিপাউরি,বন্ধ করি
জিপা,বন্ধ করো
জিপার,বন্ধ করে
জিপাউরি,বন্ধ করছি
জিপাইলু,বন্ধ করলাম
জিপার,বন্ধ করেছি
জিপাতৌ,বন্ধ করব
আহুরি,হাসি
আহো,হাসো
আহের,হাসে
আহুরি,হাসছি
আহোইলু,হাসলাম
আহের,হেসেছি
আহোতৌ,হাসব
আহের,হাসতে
আহের,হেসে
কাদুরি,কাঁদি
কাদ,কাঁদো
কাদের,কাঁদে
কাদুরি,কাঁদছি
কাদইলু,কাঁদলাম
কাদের,কেঁদেছি
কাদতৌ,কাঁদব
কাদের,কাঁদতে
কাদের,কেঁদে
খেলুরি,খেলি
খেলা,খেলো
খেলার,খেলে
খেলার,খেলছি
খেলার,খেললাম
খেলার,খেলেছি
খেলার,খেলব
খেলার,খেলতে
জিঙুরি,জিতি
জিঙ,জেতো
জিঙের,জেতে
জিঙের,জিতেছি
জিঙতৌ,জিতব
জিঙের,জিততে
জিঙের,জিতে
হারলু,হারি
হার,হারো
হারের,হারে
হারের,হেরেছি
হারতৌ,হারব
হারের,হারতে
হারের,হেরে
পিদুরি,পরি
পিদ,পরে
পিদের,পরেছি
পিদের,পরবে
পিদের,পরতে
হঙকরৌরি,বানাই
হঙকর,বানাও
হঙকরের,বানায়
হঙকরের,বানিয়েছি
হঙকরতৌ,বানাব
হঙকরের,বানাতে
হঙকরের,বানিয়ে
বাগুরি,ভাঙি
বাগ,ভাঙো
বাগের,ভাঙে
বাগের,ভেঙেছি
বাগতৌ,ভাঙব
বাগের,ভাঙতে
বাগের,ভেঙে
হামউরি,ঢুকি
হমা,ঢোকো
হামার,ঢোকে
হামার,ঢুকেছি
হমাতৌ,ঢুকব
হামার,ঢুকতে
হামার,ঢুকে
নিকুলুরি,বেরই
নিকুল,বেরও
নিকুলের,বেরোয়
নিকুলের,বেরিয়েছি
নিকুলের,বেরোব
নিকুলের,বেরোতে
নিকুলের,বেরিয়ে
তুলুরি,তুলি
তুল,তোলো
তুলের,তুলে
তুলের,তুলেছি
তুলতৌ,তুলব
তুলের,তুলতে
লামাউরি,নামাই
লামা,নামাও
লামার,নামায়
লামার,নামিয়েছি
লামাতৌ,নামাব
লামার,নামাতে
লামার,নামিয়ে
হজাক অউরি,জাগি
হজাক অ,জাগো
হাজক অর,জাগে
হাজক অর,জেগেছি
হজাক অতৌ,জাগব
হাজক অর,জাগতে
হাজক অর,জেগে
গুনজাউরি,ঘুমাই
গুনজা,ঘুমাও
গুনজার,ঘুমায়
গুনজার,ঘুমিয়েছি
গুনজাতৌ,ঘুমাব
গুনজার,ঘুমাতে
গুনজার,ঘুমিয়ে
জিংতা অউরি,বাঁচি
জিংতা অ,বাঁচো
জিংতা অর,বাঁচে
জিংতা অর,বেঁচেছি
জিংতা অতৌ,বাঁচব
জিংতা অর,বাঁচতে
জিংতা অর,বেঁচে
মরুরি,মরি
মর,মরো
মরের,মরে
মরের,মরেছি
মরতৌ,মরব
মরের,মরতে
লউরি,কিনি
ল,কিনো
লর,কেনে
লর,কিনেছি
লতৌ,কিনব
লর,কিনতে
লর,কিনে
মি,আমি
আমি,আমরা
তি,তুমি
তুমি,তোমরা
তা,সে (পুরুষ)
তেই,সে (স্ত্রী)
ওহান,এটা
তানু,তারা
মোর,আমার
আমার,আমাদের
তোর,তোমার
তুমার,তোমাদের
তার,তার (পুরুষ)
তেইর,তার (স্ত্রী)
তানুর,তাদের
মোরে,আমাকে
আমারে,আমাদেরকে
তোরে,তোমাকে
তুমারে,তোমাদেরকে
তারে,তাকে (পুরুষ)
তেইরে,তাকে (স্ত্রী)
তানুরে,তাদেরকে
যানা,যাওয়া
আতানি,হাঁটা
দাবদানি,দৌড়ানো
বহানি,বসা
ওনা,হওয়া
কোরানি,করা
তামকোরানি,পড়া
নিংকোরানি,ভাবা
লেখানি,লেখা
মাংকোরানি,হারানো
হুনানি,শুনা
দেহানি,দেখা
ফোরদানি,উড়া
খানা,খাওয়া
পিনা,পান করা
এলাদেনা,গান করা
খেলানি,খেলা
আহানি,আসা
হিনানি,গোসল করা
বাসানি,অপেক্ষা করা
মাতানি,বলা
বেসানি,বিক্রি করা
আনানি,আনা
না,না
হাই,হ্যাঁ
চুমিসে,ঠিক আছে
স্বাগতোম,স্বাগতম
বিদাই,বিদায়
আর্তাউ,আরো
হবা,ভালো
হবানেই,মন্দ
কাদা,কাছে
দুরেই,দূরে
দাঙর,বড়
হুরুকাং,ছোট
তোপতা,গরম
ইং,ঠান্ডা
চুনা,সুন্দর
সাকতি,বিশ্রী
নুওয়া,নতুন
পুরানা,পুরনো
এক,এক
দুই,দুই
তিন,তিন
চাইর,চার
পাস,পাঁচ
সয়,ছয়
সাত,সাত
আট,আট
নয়,নয়
দস,দশ
এগারো,এগারো
বারো,বারো
তেরো,তেরো
চৌদ্দ,চোদ্দো
পোন্দোরো,পনেরো
ষোল্লো,ষোলো
সতোরো,সতেরো
আঠারো,আঠারো
উন্নিশ,উনিশ
আক্কুরি,বিশ
দিক্কুরি,চল্লিশ
য়াঙখেই,পঞ্চাশ
তিনকুরি,ষাট
চারিকুরি,আশি
আহৌ,একশত
দিহৌ,দুইশত
পাসহৌ,পাঁচশত
লিশিং আহান,এক হাজার
দশ লিশিং,দশ হাজার
লাখ আহান,এক লাখ
কুটি আহান,এক কোটি
কিসারে কিতা,কেমন আছেন
কিমে কিসাদে,কেমন আছেন
বলি ইসত,কেমন আছেন
বলি ইয়া আসু,ভালো আছি
মি বলি ইয়া আসু,আমি ভালো আছি
মি পাহুরেবেল্লু,আমি ভুলে গেছি
থাকাত,ধন্যবাদ
তোর নাঙহান কিহান,তোমার নাম কী
তোর কি নাঙ,তোমার নাম কী
মোর নাঙ অসীম,আমার নাম অসীম
বিয়ানহান ফুইল,ভোর হয়েছে
মি হারপাসু,আমি জানি
মি হারনাপাসু,আমি জানি না
মি তোরে বানা পাউরি,আমি তোমাকে ভালোবাসি
মোরে না পাহুরিস,আমাকে ভুলো না
এহান্দে আহিক,এখানে এসো (বিনয়ের সাথে)
এহান্দে আই,এখানে এসো
ওহান্দে যাগা,ওখানে যাও
আমি যারাংগা,আমরা যাচ্ছি
তুমি যিতাওগা,তুমি যাবে
তি কুরাং থারগো,তুমি কোথায় থাকো
মি এবাকা গরে যিতৌগা,আমি এখন বাড়ি যাব
পৌ এহান চালাক্ক দিয়াবেঠা,এই সংবাদটি তাড়াতাড়ি পাঠাও
তা মোর মারুপগো,সে আমার বন্ধু
তর মেইথঙহান জবরে চুনা,তোমার চেহারা ভারি সুন্দর
তি মর লগে আহরগো,তুমি কি আমার সঙ্গে যাবে
তি ইমার ঠার জানরগো,তুমি কি বিষ্ণুপ্রিয়া মণিপুরী ভাষা জান
রবীন্দ্রনাথর ইকরা মরতা হবা লাগের,রবীন্দ্রনাথের লেখা আমার খুব ভাল লাগে
হবা লাগিল,ভাল লাগল
নিয়াম হবা লাগিল,খুব ভাল লাগল
উবাঅনি,দাঁড়ানো
উবাঅয়া থাক,দাঁড়িয়ে থাক
উবা অয়া,দাঁড়িয়ে
উবা অ,দাঁড়াও
উবাঅনি,দাঁড়ানো
গুজুরানি,বলা
মাতানি,বলা
মাত,বল
মাতলে,বলেছ
মাতেসিলে,বলেছিলে
মাতেসিল,বলেছিলেন
মাতেসে,বলেছে
মাতেসে,বলেছেন
মাতল,বলল
মাতুরি,বলি
মাততৌ,বলবো
মাতরাং,বলছি
আলথক অনা,ফেরা
হঙকরানি,তৈরি করা
হঙকরের,তৈরি করে
হঙকরৌরি,তৈরি করি
হঙকরেসিল,তৈরি করেছিল
হঙকরানি অসিল,তৈরি হয়েছিল
হঙকর,তৈরি কর
হঙকরতৌ,তৈরি করব
হঙকরতৈ,তৈরি করবে
বুলানি,বেড়ানো
নুংশি,সুগন্ধ
মুঙ,পূর্ব
পিছ,পশ্চিম
অওয়াঙ,উত্তর
খা,দক্ষিণ
গস,উপর
তল,নিচ
নুঙেইপা ফাল্গুন,সুখের ফাল্গুন
দেবব্রত সিংহ,কুঞ্জবনে সুগন্ধী ফুল
কুঞ্জবনে নুংশিপা ফুল,কী সুন্দর চাঁপা ফুল
কতি হবা লেহাউর ফুল,ফুল তুলে নাও তুলে নাও সই
ফুল ছিড় ছিড় ছিড় হমাজি,ভয় নেই কারোর আজ
না ডরেয়ার কারৌ আজি,আসছে সই আসছে ফাগুন
আহের হমাজি আহের ফাল্গুনহান,সুখময় শান্তিময় আনন্দময় দিন
নুঙেই নুংশি হারৌর দিনহান,কুহু কুহু স্বরে ডাকবে কোকিল
কুহু কুহু কোকিল রহিতাই,আমাদের ঘুমাতে দেবে না দিন-রাত
রাতিয়ে দিনে ঘুমানি নাদতাই,খেলব ফাগু মিলব সবাই
খেলতাঙাই ফাগু মিলতাঙাই হাবি,আবীর মাখার আনন্দে সদাই
আবির গছতাঙাই হাবিয়ে আজি,হেসে খেলে যাবে যে দিন
আহিয়া খেলিয়া যিতইগা দিন,তারপর আসবে যে কষ্টের দিন
আহিতই হমাজি হিনপানির দিন,এভাবেই একদিন চলে যাবে ফাল্গুন
এসাদে করিয়া যিতইগা ফাল্গুন,আবার বছর ঘুরে আসবে সুখের ফাল্গুন
আহিতই মুঙেদে নুঙেইপা ফাল্গুন,কত দূরে
কতি দূরেইৎ,আজ চললাম আমি প্রেয়সী
আজি সালইলু মি নুংশিপি,না, তোমার উদ্দেশে নয়
না, তোরে বিসারেয়া নাবে,এই জীবনের অন্য এক
জনম এহার বারো আরাক,পথের সন্ধানে
পথ আহান বিসারাৎ,যেখানে থাকবে না
যেহাৎ নেইতই খৌরাঙর অবসাদ,আকাঙ্খার অবসাদ
যেহাৎ নেইতই খেয়োনির বিষাদ,যেখানে থাকবে না বিচ্ছেদের বিষাদ
যেহাৎ নেইতই বিদায় বিরহ যন্ত্রণা,যেখানে থাকবে না বিদায় বিরহ যন্ত্রণা
যেহাৎ প্রেমপূজারির আত্মাগ,যেখানে প্রেমপূজারির আত্মা
মুক্ত প্রেমর হারৌয়ে,মুক্ত প্রেমের আনন্দে
বাহিয়া যারগা অহাৎ,ভেসে যায় সেখানে
আজি যে পথহান ধরেছু নুংশিপি,আজও  যে পথে হেঁটে চলেছি প্রিয়তমা
এপাগাউ সিতকরের নিরাশার বৌ আহান,সেখানে বইছে নিরাশার বাতাস
না, মাতে নুয়ারৌরি,না, বলতে পারছি না
চিন্তার খুয়ায় বেড়িয়া থুয়াছে,চিন্তার কুয়াশা আচ্ছন্ন করে রেখেছে
দৃষ্টির দিগন্তৎ দেখুরি ঝাপসা করে,দৃষ্টির দিগন্তে ঝাপসা করে দেখি
পথ অহান কতি দূরেই,সেই পথ কত দূরে!
তেবো মি সালুইছু,তবু আমি চলেছি
বারো মুঙেদে,আবারও সামনে
দেখুরি ঝাপসা করে,দেখছি ঝাপসা করে
মাতে নুয়ারৌরি,বলতে পারছি না
পথ এহান কতি দূরেই,সেই পথ কত দূরে
খেলতামর খিল্লাগ,সময়ের চাকা
খেলতামর খিল্লাগ এবাকা হাংকা,সময়ের চাকা যখন তখন
কুম্বাকা সরাহানর সাদে,পাহাড়ি ছড়ার মতো
সমুদ্রুহান পেইং পুংনিঙে সালসে,সাগরের সাথে মিলনের আশায় ছুটে চলেছে
হারনেই তার নিংপা মহাকালর,জানি না তার প্রিয় মহাকালের
লাক-খুসনেই চেম্ফুগ তালকরে,আদি-অন্তহীন গহবরের উদ্দেশে
তি মি এ দ্বগি লালফামর ফামে,তুমি আমি দু’জন যুদ্ধক্ষেত্রে
ফৌদাম নেই কাফামে,নিষ্ফলা উদ্দেশ্যে
কিয়াকা কাকালি বাধিয়া মজেসি,কেন কোমর বেঁধে নেমেছি?
কামে থইদকপা কিত্তাউ নেইলে ফিজেত পাজালানি,কিছুই করার না থাকলে কাপড় গোছগাছ করা ভালো
নাপালে চেকচিল জিপা আহিগি,,অহংকার ভরা বন্ধ চোখ দুটি-
চা নারের,দেখতে পায় না
খেলতামর করপেকহানাৎ আউপা লিচেতে,সময়ের পান্ডুলিপির সত্যিকার নিয়মে
কালা না রাঙা কালি পড়েসেতা,কালো নাকি লাল রঙ লেপ্টে আছে
সরার পানি কল্পুক ইথাক তুলিয়া,ছড়ার ফেনিল পানি ঢেউ তুলে
মিকুপ মিকুপ খেলতাম যারগা,,সময়ের হাত ধরে বয়ে চলে
যিতইগা মহাসিন্ধু বারো মহাকালর বুকগৎ যৌয়নিৎ,মহাসিন্ধু আর মহাকালের বুকে আশ্রয় নিতে
নুংপাং মাঙয়া ইংচিক অইতাঙাই সইনেই,অবাক বিস্ময়ে নিস্তব্ধ নীরব হয়ে যাব
রাতি নঙেইর মইপঙর রৌয়ে,গভীর রাতের শঙ্খধ্বনিতে
থাংতে কিহান করানি এবাকাউ,কাজেই এখন কী করতে হবে
থকসে খালকরানি,ভাবা উচিৎ
চৈত মাহার বিয়ানকার রোদগর,চৈত্রে সকালবেলার রোদের
তপ্তা ফাপগৎ হিনা হিনা,উত্তাপ গায়ে মেখে মেখে
তেই সালুইসে মুঙেদে,সে এগোচ্ছে সামনে
মারুপর লগে,বান্ধবীদের সাথে
ইনাফিহার চুটিগ সেচারার মাটিহাৎ,ইনাফির আঁচল গড়াগড়ি খাচ্ছে মাটিতে
বাতেদের আতহান গজেদে হেইকরে,ডানহাত উপরের দিকে ছুঁড়ে ছুঁড়ে
খুমকরিরি শ্লোগানহান,শ্লোগান ধরছে
ইমার ঠারর স্বীকৃতি দেনা লাগতই,মাতৃভাষার স্বীকৃতি দিতে হবে
খাংদা লম্বেইর গুলি আগ,হঠাৎ একটা গুলি
তেইর গারিগ লিতয়া গেলগা,তার হেহটাকে করে দিল এফোঁড় ওফোঁড়
রকতর গোলাহাৎ বাহিল তেইর গারিগ,রক্তগঙ্গা বয়ে গেল তার সারা দেহে
তাপ তাপ্প রকত অতা,ধীরে ধীরে সেই রক্ত
মেয়েক অলিয়া হংকরলা,অক্ষর হয়ে তৈরি করল
কথার ফুলদান আহান,একটি কথামালা
‘ইমার ঠার পুঞ্চি পালক’,‘মাতৃভাষা অমর হোক’
ফুলর শপা আহান উঠিসে,একটা ফুলগাছ বেড়ে উঠেছে
তেইর শ্মশানহাৎ,তার শ্মশানে
না, কাবকলেই উটংলেই নাবেরাঙা,না, গন্ধরাজ করবী নয়-
অটফুল শপাহান,একটি রক্তজবা গাছ
দেহানির জ্বালা,দেখার জ্বালা
মি দেহেছু ওটির টেবিলে,আমি দেখেছি ওটির টেবিলে
নুয়ারার নিকদানি,রোগীদের কাঁপুনি
আর হুনেছু বলির আগে,আর শুনেছি বলির আগে
মরা পশুর কাদানি,পশুদের আর্তনাদ
মি দেহেছু লেম্পা খাওন,আমি দেখেছি বেঁচে যাওয়া খাবার
হেলাফেলায় আলিতে,অবলীলায় ফেলে দিতে
আর দেহেছু ডাস্টবিনেত্ত,আর দেখেছি ডাস্টবিন থেকে
হেনুর-আঠি লেহিতে,আমের আঁটি চুষতে
মি হুনেছু, গরমে এসির কাজে,আমি শুনেছি গরমে এসির জন্য
হায় হুতাশ করতে,হা হুতাশ করতে
আর দেহেছু মাঘর জারে,আর দেখেছি মাঘের তীব্র শীতে
ককারা ইয়া মরতে,কুকড়ে যাওয়া শরীর
মোর পোড়া আহিত দেহেছু,আমার পোড়া চোখে দেখেছি
ইজ্জত বেছানির হক পয়সার কাজে,ইজ্জত বিμির হক টাকার জন্য
খদ্দেরর লগে কৌলি করতে,খদ্দেরের সাথে ঝগড়া করতে
আর দেহেছু ঘুষ দিতেগা,আমি দেখেছি ঘুষ দিতে গিয়ে
নিজ ভিটাগ বেছতে,নিজের ভিটাবাড়ি বেচতে
নাঙুইছু, বরনে উরিয়া,অভিজ্ঞতা হয়েছে পানি চুইয়ে পড়ে
কত রাতি না ঘুমিতে,কত রাত নিদ্রাহীন থাকতে
মি দেহেছু ঘুষর রুপাল,আমি দেখেছি ঘুষের টাকায়
প্রাসাদ হংকরতে,অট্টালিকা বানাতে
নাঙুইছু শত ডলারে রাতি আহাত,দেখেছি এক রাতে শত ডলার খরচ করে
হোটেল শেরাটনে ঘুমিতে,হোটেল শেরাটনে ঘুমাতে
মি দেহেছু ধলাইর পানি,আমি দেখেছি ধলাই নদীর পানি
তুলিয়া হাজম পিতে,আঁজলা ভরে পান করতে
দেহেছু এ লেইরা দেশেউ,দেখেছি এ গরিব দেশেও
বিদেশর পানি পিতে,বিদেশের পানি খেতে
আরতা কিত্তাউ দেহানি নাহের,আর কিছু দেখতে চায় না
মোর এ আহিগিত,আমার এ দুটি চোখ
ঘুম দে প্রভু,ঘুম দাও প্রভু
চিরশান্তির ঘুম,চিরশান্তির ঘুম
মি যেহান না লিখিসু,আমি যা লিখিনি
হাকহার জোনাক তারা,আকাশের চাঁদ তারা
বারো বেলিগর রঙহান,আর সূর্যের রঙ
পৃথিবী এহান হঙনির পিসেত্ত আজি পেয়া,পৃথিবীর জন্ম থেকে আজ পর্যন্ত
হাবি কবিয়ে এতানো কবিতা লিখতারা,সব কবিই লিখে গেল কবিতায়
নানান উপমা য়ৌকরিয়া,নানা উপমা সংযুক্ত করে
কুংগৌ কিতা পারিসিলাতা,কেউ কি পেরেছিল
অরে জোনাক,ঐ চাঁদ
তারা বারো বেলিগর মিঙালহার সাদে,তারা কিংবা সূর্যের মতো
তাঙর কবিতা অতা ঙালকরানি?,উজ্জ্বল করতে নিজের কবিতা?
পৃথিবী এহান হঙিতেত্ত আজি পেয়া,পৃথিবীর জন্ম থেকে আজ অবধি
যতহান কাব্য লেঙুইসে,যত কাব্য রচিত হয়েছে
অতা হাবি সুপকরিয়াউ পারতাইতা,সেসব মিলেও কি পারবে
হাক এহানরে মিঙালে বাহুয়াদেনা?,আকাশটা আলোয় ভরিয়ে দিতে?
যে ডাঙরিয়া শক্তিহানে,যে মহান শক্তি
হাকহানর কাব্যহান লেংকরিসে,আকাশের কাব্য লিখেছে
মি নাচিনিসু তারে,চিনি নাই তাকে,
মেয়েক অতা আসে আরুপি ঠার আহাননো,অক্ষর আছে রহস্যের ভাষা নিয়ে
যেপাগা চিনে পারতৌ,যখন চিনতে পারব
মেয়েক চিনে চিনে,অক্ষর চিনে চিনে
যদি মি থাউরি,যদি আমি থাকতে পারি
মহাসত্যর মাঝে,মহাসত্যের মাঝে,
অহানই ইতইতা মোর আউপা কবিতাহান,তা-ই হবে আমার প্রকৃত কবিতা
যেহান মি কুনোদিন না লিখিসু,যা আমি কোনোদিন লিখিনি জীবনে
আজি খাংদা,আজ হঠাৎ
ডরুয়া আহির ঔ চানাহান,ভীরু চোখের ওই চাহনি
মোর হারদিনকার চিনা,আমার প্রতিদিনকার চেনা
